#Country Name: Please see filename.

graphical_culture = northamericagfx

color = { 8 64 6 }

revolutionary_colors = { 8 13 10 }

historical_idea_groups = {
	infrastructure_ideas
	offensive_ideas
	innovativeness_ideas
	trade_ideas
	diplomatic_ideas
	exploration_ideas
	quality_ideas
	economic_ideas
}

historical_units = {
	native_indian_archer
	native_indian_tribal_warfare
	native_indian_horsemen
	native_indian_mountain_warfare
	iroquois_rifle_scout
	sioux_dragoon
	american_western_franchise_warfare
}

monarch_names = {	
	"Qualebeenewes #0" = 20
	"Madockawando #0" = 20
	"Wanagemeshaw #0" = 20
	"Bungawarrawit #0" = 20
	"Warrankansit #0" = 20
	"Bomoseen #0" = 20
	"Edaranaquin #0" = 20
	"Eneas #0" = 20
	"Iteansis #0" = 20
	"Jackoit #0" = 20
	"Pequaret #0" = 20
	"Weebenoose #0" = 20
	"Caterramoggus #0" = 20
	"Nuctungus #0" = 20
	"Quinnawus #0" = 20
	"Quirebooset #0" = 20
	"Neguscawit #0" = 20
	"Abinnaway #0" = 20
	"Scaweeease #0" = 20
	"Addeawando #0" = 20
	"Segucewick #0" = 20
	"Kissuragunnit #0" = 20
	"Pittarisquanne #0" = 20
	"Moxusson #0" = 20
	"Erixis #0" = 20
	"Estien #0" = 20
	"Wenemoet #0" = 20
	"Whonumbamet #0" = 20
	"Sanboddies #0" = 20
	"Chocorua #0" = 1
	
	"Mali #0" = -1
	"Malian #0" = -1
	"Maliazonis #0" = -1
	"Azonis #0" = -1
	"Malgelit #0" = -1
}

leader_names = { 
	Achaos Agatharchidos Agathos Agelaos Agenos Agesipolos Agos Aknonos Akrotatos Alexandros Alexarchos Alketos Alkimos Amantos Amnytos Amphoteros 
	Anaxarchos Anaxikratos Anaximandros Andagoros Andromachos Andromenos Andronikos Apollodoros Aristodemos Asandros Bryaxos Charos Charidemos Chariklos 
	Demados Eupolemos Gorgos Gylippos Hekataos  Hektos Helenos Heliodoros Helioklos Herakos Hermogenos Hippalos Hyperbatos Kalliarchos Kebalinos 
	Kephisodotos Kleomenos Ktesiklos Leontos Leosthenos Lydiados Lykurgos Menedemos Menos Menippos Mnesidemos Nearchos Nikagoros Niketos Nikos Olympiodoros 
	Onomarchos Onomastos Ophellos Orestos Parmenos Polyperchos Proteos Stratonos Xenophos Zeuxos Pheraeos Argead Airopos Agaos Agathoklos Agathonos Agelaos 
	Agenoros Agisos Aischinos Aknonos Akrotatos Alkimachos Amyntos Andragoros Andromachos Andromenos Androsthenos Antenoros Antialkidas "Antigonos" Antiklos 
	Antimachos Antiochos Antipatros Antiphatos Antiphilos Antisthenos Aphrodisos Apollodotos Apollonos Apollophanos 
	Archagathos Archebos Archelaos Archos Archidamos Archimedos Archippos Aretos Aristarchos Aristobulos Aristomachos Aristonos 
	Aristophanos Aristophonos Arrhabaos Arsos Artemidoros Athenodoros Attalos Audoleonos Bakchos Balakros 
	Bikonos Bryaxos Chabros Chairestratos Chairondos Charos Charidemos Chariklos Charinos Chremos Chrysippos Damokratos Damophonos Damotelos Deimachos Deinippos 
	Demetros Democharos Demokleides Demophanos Demosthenos Derdos Deriados Dikaiarchos Dikaos Dimnos Diodoros 
	Diogenos Diomedos Echekratos Eisigonos Ekdemos Empedoklos Epameinondos Epandros Epikuros Epikydos Epimenos Epokillos 
	Erigos Euainetos Euandros Eubulos Eudoxos Euhemeros Eumenos Eupolemos Eurylochos Euthydemos 
	Euthykratos Euthykritos Euxenippos Gabras Gelonos Gorgippos Hagesandros Harpalos Hegemachos Hegesos Hekataos Hektoros 
	Herakonos Hermarchos Hermos Hermogenos Heromenos Herophilos Hieraxos Hieronos Hiketos Hippalos Hipparchos Hippokratos Hippostratos Hyakinthos Hyperbatos Ikadionod Ismenos 
	Kallinos Kallisthenos Kallistratos Kassandros Kebalinos Kephalonos Kephisophos Kleandros Kleanthos Klearchos 
	Kleombrotos Koinos Krateros Kratos Lacharos Laomedonos Leonos Leonnatos Leontos Leosthenos Leostratos 
	Leukonos Lysandros Lysimachos Lysippos Lysistratos Machanidos Machatos Makartatos Megasthenos Meleagros Memnonos 
	Menandros Menelaos Menidos Menonos Menos Metrodoros Metronos Milonos Mnesidemos Molonos Nabos Neaichmos Nearchos Neoptolemos Nikagoros Nikandros 
	Nikanoros Nikarchos Nikephoros Nikeratos Niketos Nikiad Nikodoros Nikokratos Nikomachos Nikomedos Nikostratos Numenos 
	Orestos Paioniad Pairisados Pantaleonos Pantauchos Pantordanos Patroklos Pausanos Peithagoros Peithonos 
	Peukestos Phereklos Philemonos Philetos Philinos Philippos Philoklos Philonos Philotos Phyromachos 
	Platonos Pleistarchos Polemonos Polybiad Polydamos Polydoros Polyeuktos Polygnotos Polyperchos Poseidippos Prepelaos "Ptolemaios"
	Pyrrhos Pythead Pythodelos Satyros "Seleukos" Simmiad Sophytos Sopolos Sosistratos Sotos Stasanoros Stilponos Stratoklos 
	Taurionos Teisikratos Telesarchos Thearos Themistiad Theodamos Theodoros Theodotos Theokritos Theophilos 
	Thoinonos Thrasyklos Timarchos Timoleonos Timothead Tryphonos Xenophonos Zoilos Zopyrionos Lacharos 
}

ship_names = {
	Abenaki Penobscot Maliseet Passamaquoddy Mi'kmaq
	Alemos Ahaso Beziko Woboz Molsem Awasos Bezo Wokwses Azeban
	Kogw Mategwas Megeso Wobtegwa Gokokhoko Skog Doleba Wawilomwa
}
