# Italy
123 = "Rivah" #Calabria
2984 = "Qatanssar" #Cosenza
1934 = "Tursi" #Lucania
1933 = "Barri" #Bari
122 = "Litshy" #Salento
2983 = "Salirno" #Salerno
4734 = "Benfentu" #Avellino
2985 = "Lugerah" #Capitanata
4733 = "Molizzi" #Molise
121 = "Nable" #Napoli
120 = "Abrutso" #Abruzzi
4732 = "Tiratshyna" #Terracina
4731 = "Sbolito" #Spoleto
119 = "Anqunah" #Ancona
118 = "Rumiyye" #Roma
2976 = "Byrudje" #Perugia
2977 = "Aurbinu" #Urbino
117 = "Syena" #Siena
2978 = "Arritso" #Arezzo
116 = "Iflorinseh" #Firenze
115 = "Bizza" #Pisa
2980 = "Lokke" #Lucca
114 = "Rafina" #Ravenna
4730 = "Bulunyah" #Bologna
106 = "Modinna" #Modena
113 = "Firarra" #Ferrara
105 = "Barma" #Parma
109 = "Mantuffah" #Mantova
101 = "Janueh" #Genova
2992 = "Albinjah" #Albenga
102 = "Nys" #Nizza
4727 = "Alsalsatt" #Saluzzo
1875 = "Kunyyo" #Cuneo
2981 = "Jabal Hadeed" #Monteferrato
103 = "Tarunnah" #Torino
4728 = "Bafiyye" #Pavia
1862 = "Kerimunna" #Cremona
104 = "Milanno" #Milano
2979 = "Nufarra" #Novara
4740 = "Kumo" #Como
4739 = "Birghamo" #Bergamo
107 = "Breshah" #Brescia
108 = "Firona" #Verona
4729 = "Badhua" #Padova
1774 = "Trifizzo" #Treviso
111 = "Firyulli" #Friuli
112 = "Al-Bundiqqiyah" #Venezia

# Iberia & Sicily
124 = "Massina"
125 = "Zis"
126 = "Malttah"
127 = "Abilya"
196 = "Tolosha"
197 = "Sebtimunah"
200 = "Monsbellayr"
206 = "Shant Yakub"
207 = "Ofied"
208 = "Liyun"
210 = "Banbaluna"
211 = "Wasqah"
212 = "Garundah"
213 = "Barshaluna"
214 = "Saraqusta"
215 = "Baladu-Walid"
216 = "Salmanika"
217 = "Majrit"
218 = "Batalyaws"
219 = "Tulaytullah"
220 = "Balansiyah"
221 = "Mursiya"
222 = "Marriya"
223 = "Garnatah"
224 = "Isbiliya"
225 = "Qurtuba"
226 = "Jabal Tariq"
227 = "Lixbuna"
228 = "al-Adna"
229 = "Baja"
230 = "Shilb"
231 = "Burtuqal"
232 = "Yullobirqa"
332 = "Mar'ash"
333 = "Mayurqa"
336 = "Tilimsan"
338 = "Mitija"
340 = "Qusantinah"
341 = "Qart-hadast"
352 = "Qafsah"
356 = "Bangazi"
357 = "Darnah"
358 = "Iskandariyya"
361 = "Qahirah"
362 = "Rashid"
363 = "Dumyat"
364 = "Ghazzah"
365 = "Sina"
377 = "Halab"
378 = "Tarabulus al-Sham"
379 = "al-Quds"
381 = "Ajloun"
382 = "Dimashq"
384 = "Madinah"
385 = "Makkah"
387 = "Mukha"
388 = "Adan"
390 = "San'a"	
391 = "Najran"	
392 = "Al'Arid"
393 = "Jabal Shammar"
394 = "Qatif"	
395 = "Qatar"
396 = "Awal"
398 = "Qawasim"
399 = "Suhar"	
400 = "Masqat"
404 = "Liwa"
405 = "Tadmor"
407 = "Ar-Raqqah"
